time,cluster,in_out
1376196403.0,7,in
1376196452.0,7,out
1376196990.0,11,in
1376197113.0,11,out
1376199320.0,11,in
1376200393.0,11,out
1376200709.0,58,in
1376200749.0,58,out
1376200842.0,4,in
1376200972.0,4,out
1376200972.0,1,in
1376286439.0,1,out
1376288953.0,0,in
1376312046.0,0,out
1376312046.0,1,in
1376315460.0,1,out
1376316905.0,1,in
1376286439.0,1,out
1376288953.0,0,in
1376312046.0,0,out
1376312046.0,1,in
1376315460.0,1,out
1376316905.0,1,in
1376391807.0,1,out
1376393251.0,1,in
1376391807.0,1,out
1376393251.0,1,in
1376440854.0,1,out
1376441661.0,61,in
1376441788.0,61,out
1376479477.0,1,in
1376479824.0,1,out
1376479824.0,4,in
1376479850.0,4,out
1376482049.0,7,in
1376482210.0,7,out
1376482210.0,1,in
1376440854.0,1,out
1376441661.0,61,in
1376441788.0,61,out
1376479477.0,1,in
1376479824.0,1,out
1376479824.0,4,in
1376479850.0,4,out
1376482049.0,7,in
1376482210.0,7,out
1376482210.0,1,in
1376620398.0,1,out
1376648047.0,61,in
1376648075.0,61,out
1376648807.0,4,in
1376648859.0,4,out
1376648859.0,1,in
1376620398.0,1,out
1376648047.0,61,in
1376648075.0,61,out
1376648807.0,4,in
1376648859.0,4,out
1376648859.0,1,in
1377044166.0,1,out
1377044166.0,4,in
1377044192.0,4,out
1377045188.0,61,in
1377045333.0,61,out
1377080920.0,61,in
1377080967.0,61,out
1377081892.0,4,in
1377082088.0,4,out
1377082182.0,58,in
1377082231.0,58,out
1377082778.0,11,in
1377043683.0,11,out
1377043683.0,1,in
1377044166.0,1,out
1377044166.0,4,in
1377044192.0,4,out
1377045188.0,61,in
1377045333.0,61,out
1377080920.0,61,in
1377080967.0,61,out
1377081892.0,4,in
1377082088.0,4,out
1377082182.0,58,in
1377082231.0,58,out
1377082778.0,11,in
1377130223.0,11,out
1377131455.0,61,in
1377131570.0,61,out
1377169203.0,7,in
1377169242.0,7,out
1377169704.0,11,in
1377169845.0,11,out
1377169858.0,44,in
1377169865.0,44,out
1377171711.0,37,in
1377171890.0,37,out
1377174053.0,7,in
1377174077.0,7,out
1377174077.0,1,in
1377174395.0,1,out
1377174395.0,7,in
1377174440.0,7,out
1377174440.0,1,in
1377174466.0,1,out
1377174466.0,7,in
1377130223.0,7,out
1377131455.0,61,in
1377131570.0,61,out
1377169203.0,7,in
1377169242.0,7,out
1377169704.0,11,in
1377169845.0,11,out
1377169858.0,44,in
1377169865.0,44,out
1377171711.0,37,in
1377171890.0,37,out
1377174053.0,7,in
1377174077.0,7,out
1377174077.0,1,in
1377174395.0,1,out
1377174395.0,7,in
1377174440.0,7,out
1377174440.0,1,in
1377174466.0,1,out
1377174466.0,7,in
1377474949.0,7,out
1377474949.0,1,in
1377475300.0,1,out
1377475300.0,4,in
1377475324.0,4,out
1377476250.0,61,in
1377476384.0,61,out
1377474949.0,1,in
1377475300.0,1,out
1377475300.0,4,in
1377475324.0,4,out
1377476250.0,61,in
1377476384.0,61,out
1377735102.0,1,in
1377735398.0,1,out
1377735398.0,4,in
1377735425.0,4,out
1377736434.0,61,in
1377736554.0,61,out
1379535184.0,7,in
1379535219.0,7,out
1379535293.0,31,in
1379535341.0,31,out
